ensembl_gene_id;gene_symbol
ENSRNOG00000013895;Npdc1
ENSRNOG00000020279;Syt11
ENSRNOG00000028733;Prkar1b
ENSRNOG00000017144;Mea1
ENSRNOG00000024243;Cadm4
ENSRNOG00000010146;Ndn
ENSRNOG00000005988;Arl8a
ENSRNOG00000050796;AABR07026893.1
ENSRNOG00000003951;Psmc1
ENSRNOG00000020235;Hnrnpl
ENSRNOG00000018390;Pld3
ENSRNOG00000007967;Sdhb
ENSRNOG00000059061;Uqcr10
ENSRNOG00000049876;Prkar1a
ENSRNOG00000033426;Cdc37
ENSRNOG00000016326;Cx3cl1
ENSRNOG00000007784;Bloc1s1
ENSRNOG00000012852;Bin1
ENSRNOG00000018217;Syt5
ENSRNOG00000020698;Rnd2
ENSRNOG00000019629;Lamp1
ENSRNOG00000014289;Arpc2
ENSRNOG00000020464;Mrpl54
ENSRNOG00000018627;Plekhb1
ENSRNOG00000010452;LOC100363502
ENSRNOG00000014571;Dbndd2
ENSRNOG00000005184;Nop10
ENSRNOG00000008329;Ndufb11
ENSRNOG00000008673;Arpc3
ENSRNOG00000005041;Crip2
ENSRNOG00000017372;Higd2a
ENSRNOG00000013118;Atox1
ENSRNOG00000007091;Ly6e
ENSRNOG00000016163;Slc1a3
ENSRNOG00000003163;Sdhc
ENSRNOG00000015967;Sh3bgrl3
ENSRNOG00000008452;Eid1
ENSRNOG00000008140;Rpl15
ENSRNOG00000047339;Pja1
ENSRNOG00000001454;Eif4h
ENSRNOG00000061215;Crym
ENSRNOG00000030625;Tf
ENSRNOG00000060123;Kifc2
ENSRNOG00000007971;Wbp2
ENSRNOG00000007512;Srp14
ENSRNOG00000007462;Sept8
ENSRNOG00000014806;Pnkd
ENSRNOG00000038372;Ndufs2
ENSRNOG00000007367;Sept4
ENSRNOG00000018848;Eif1b
ENSRNOG00000032825;Rpl30
ENSRNOG00000019798;Stub1
ENSRNOG00000003905;Nsf
ENSRNOG00000009263;Ifi27
ENSRNOG00000011782;Got2
ENSRNOG00000005358;Pmm1
ENSRNOG00000019435;Psd
ENSRNOG00000057161;AABR07027407.1
ENSRNOG00000000996;Arpc1a
ENSRNOG00000021132;Trmt112
ENSRNOG00000007650;Cd63
ENSRNOG00000017241;Dpcd
ENSRNOG00000015844;Snrpd2
ENSRNOG00000017194;Prdx1
ENSRNOG00000019973;Arl3
ENSRNOG00000009409;Fbxo2
ENSRNOG00000020460;Banf1
ENSRNOG00000050983;Hpcal4
ENSRNOG00000019587;Ptprn
ENSRNOG00000009778;Tmem59
ENSRNOG00000020206;Ctsd
ENSRNOG00000011214;Polr2f
ENSRNOG00000008961;Mapre3
ENSRNOG00000034071;Chmp4bl1
ENSRNOG00000009205;Lmo4
